InvoiceDate,Country,daily_revenue,running_total
2010-12-01,Australia,358.25,358.25
2010-12-08,Australia,258.9,617.15
2010-12-14,Australia,-27.75,589.4
2010-12-17,Australia,415.7,1005.1
2011-01-06,Australia,7154.38,8159.48
2011-01-10,Australia,81.6,8241.08
2011-01-11,Australia,462.5,8703.58
2011-01-14,Australia,177.0,8880.58
2011-01-17,Australia,431.3,9311.88
2011-01-19,Australia,238.5,9550.38
2011-01-20,Australia,87.75,9638.13
2011-01-28,Australia,384.68,10022.81
2011-02-07,Australia,192.0,10214.81
2011-02-15,Australia,14022.92,24237.73
2011-02-27,Australia,412.55,24650.28
2011-03-03,Australia,16558.14,41208.42
2011-03-09,Australia,210.9,41419.32
2011-03-24,Australia,286.25,41705.57
2011-04-01,Australia,350.0,42055.57
2011-04-04,Australia,-13.2,42042.37
2011-04-08,Australia,421.6,42463.97
2011-04-28,Australia,-425.0,42038.97
2011-05-12,Australia,475.16,42514.13
2011-05-17,Australia,11924.8,54438.93
2011-05-20,Australia,766.36,55205.29
2011-05-23,Australia,472.09,55677.38
2011-05-31,Australia,-9.9,55667.48
2011-06-02,Australia,-23.0,55644.48
2011-06-15,Australia,23426.81,79071.29
2011-06-30,Australia,1760.96,80832.25
2011-07-13,Australia,2796.36,83628.61
2011-07-14,Australia,902.09,84530.7
2011-07-19,Australia,483.02,85013.72
2011-07-24,Australia,505.46,85519.18
2011-07-26,Australia,80.64,85599.82
2011-08-12,Australia,608.76,86208.58
2011-08-18,Australia,21880.44,108089.02
2011-09-01,Australia,2941.72,111030.74
2011-09-05,Australia,147.7,111178.44
2011-09-16,Australia,519.89,111698.33
2011-09-25,Australia,825.92,112524.25
2011-09-28,Australia,596.5,113120.75
2011-10-05,Australia,16471.77,129592.52
2011-10-06,Australia,678.76,130271.28
2011-11-02,Australia,450.24,130721.52
2011-11-03,Australia,375.24,131096.76
2011-11-04,Australia,338.71,131435.47
2011-11-15,Australia,5355.4,136790.87
2011-11-24,Australia,286.4,137077.27
2010-12-15,Austria,-20.16,-20.16
2010-12-17,Austria,277.2,257.04
2011-02-01,Austria,364.6,621.64
2011-02-02,Austria,153.76,775.4
2011-03-03,Austria,166.04,941.44
2011-03-23,Austria,1542.08,2483.52
2011-04-26,Austria,680.78,3164.3
2011-05-06,Austria,165.85,3330.15
2011-05-23,Austria,1083.58,4413.73
2011-06-14,Austria,-24.2,4389.53
2011-07-12,Austria,484.86,4874.39
2011-07-28,Austria,707.09,5581.48
2011-08-08,Austria,981.38,6562.86
2011-08-19,Austria,534.7,7097.56
2011-10-18,Austria,1043.78,8141.34
2011-11-13,Austria,586.85,8728.19
2011-11-14,Austria,742.93,9471.12
2011-12-08,Austria,683.2,10154.32
2010-12-20,Bahrain,205.74,205.74
2011-01-05,Bahrain,-205.74,0.0
2011-05-09,Bahrain,459.4,459.4
2011-05-19,Bahrain,89.0,548.4
2010-12-03,Belgium,346.1,346.1
2010-12-17,Belgium,625.16,971.26
2010-12-21,Belgium,237.93,1209.19
2010-12-22,Belgium,600.72,1809.91
2011-01-05,Belgium,-2.95,1806.96
2011-01-06,Belgium,-31.95,1775.01
2011-01-12,Belgium,651.16,2426.17
2011-01-19,Belgium,-11.25,2414.92
2011-01-20,Belgium,225.6,2640.52
2011-01-25,Belgium,323.44,2963.96
2011-02-03,Belgium,213.9,3177.86
2011-02-09,Belgium,84.3,3262.16
2011-02-11,Belgium,231.51,3493.67
2011-02-17,Belgium,1119.2,4612.87
2011-02-18,Belgium,-14.85,4598.02
2011-02-21,Belgium,192.31,4790.33
2011-02-24,Belgium,-4.9,4785.43
2011-02-25,Belgium,189.9,4975.33
2011-02-28,Belgium,149.95,5125.28
2011-03-01,Belgium,559.12,5684.4
2011-03-03,Belgium,410.0,6094.4
2011-03-10,Belgium,-18.4,6076.0
2011-03-14,Belgium,357.07,6433.07
2011-03-20,Belgium,226.3,6659.37
2011-03-21,Belgium,347.35,7006.72
2011-03-23,Belgium,614.55,7621.27
2011-03-24,Belgium,837.59,8458.86
2011-04-07,Belgium,240.88,8699.74
2011-04-08,Belgium,-14.85,8684.89
2011-04-10,Belgium,476.49,9161.38
2011-04-12,Belgium,344.57,9505.95
2011-04-15,Belgium,142.16,9648.11
2011-04-18,Belgium,269.66,9917.77
2011-04-28,Belgium,495.24,10413.01
2011-05-05,Belgium,149.97,10562.98
2011-05-06,Belgium,381.08,10944.06
2011-05-10,Belgium,480.9,11424.96
2011-05-12,Belgium,181.82,11606.78
2011-05-17,Belgium,297.38,11904.16
2011-05-23,Belgium,514.82,12418.98
2011-05-24,Belgium,-5.4,12413.58
2011-05-27,Belgium,726.43,13140.01
2011-06-01,Belgium,84.92,13224.93
2011-06-05,Belgium,1296.12,14521.05
2011-06-07,Belgium,607.55,15128.6
2011-06-08,Belgium,99.45,15228.05
2011-06-09,Belgium,130.08,15358.13
2011-06-17,Belgium,992.02,16350.15
2011-06-22,Belgium,459.84,16809.99
2011-06-23,Belgium,440.94,17250.93
2011-06-29,Belgium,-1.65,17249.28
2011-06-30,Belgium,163.9,17413.18
2011-07-06,Belgium,719.06,18132.24
2011-07-07,Belgium,301.81,18434.05
2011-07-13,Belgium,45.6,18479.65
2011-07-27,Belgium,1214.81,19694.46
2011-07-28,Belgium,192.34,19886.8
2011-08-02,Belgium,777.95,20664.75
2011-08-04,Belgium,355.56,21020.31
2011-08-11,Belgium,469.25,21489.56
2011-08-12,Belgium,209.62,21699.18
2011-08-19,Belgium,771.97,22471.15
2011-08-25,Belgium,752.79,23223.94
2011-08-31,Belgium,198.98,23422.92
2011-09-02,Belgium,632.08,24055.0
2011-09-09,Belgium,1087.7,25142.7
2011-09-19,Belgium,392.4,25535.1
2011-09-21,Belgium,549.84,26084.94
2011-09-22,Belgium,705.81,26790.75
2011-09-28,Belgium,829.99,27620.74
2011-10-04,Belgium,346.68,27967.42
2011-10-10,Belgium,332.68,28300.1
2011-10-11,Belgium,355.8,28655.9
2011-10-13,Belgium,1491.59,30147.49
2011-10-14,Belgium,450.86,30598.35
2011-10-17,Belgium,358.99,30957.34
2011-10-21,Belgium,300.76,31258.1
2011-10-24,Belgium,-34.0,31224.1
2011-10-26,Belgium,786.95,32011.05
2011-10-28,Belgium,499.16,32510.21
2011-10-30,Belgium,299.06,32809.27
2011-10-31,Belgium,462.85,33272.12
2011-11-04,Belgium,1673.03,34945.15
2011-11-07,Belgium,739.5,35684.65
2011-11-08,Belgium,506.55,36191.2
2011-11-10,Belgium,-19.95,36171.25
2011-11-17,Belgium,1492.31,37663.56
2011-11-18,Belgium,1040.39,38703.95
2011-11-20,Belgium,265.83,38969.78
2011-11-22,Belgium,301.25,39271.03
2011-11-24,Belgium,-2.55,39268.48
2011-11-28,Belgium,-48.85,39219.63
2011-11-29,Belgium,281.9,39501.53
2011-12-02,Belgium,302.02,39803.55
2011-12-06,Belgium,898.77,40702.32
2011-12-09,Belgium,208.64,40910.96
2011-04-15,Brazil,1143.6,1143.6
2011-03-14,Canada,140.54,140.54
2011-05-04,Canada,534.24,674.78
2011-06-20,Canada,1171.46,1846.24
2011-07-11,Canada,1217.64,3063.88
2011-07-15,Canada,550.94,3614.82
2011-08-25,Canada,51.56,3666.38
2010-12-09,Channel Islands,363.53,363.53
2011-01-27,Channel Islands,675.58,1039.11
2011-01-31,Channel Islands,-30.5,1008.61
2011-02-15,Channel Islands,1784.71,2793.32
2011-03-02,Channel Islands,828.84,3622.16
2011-03-09,Channel Islands,1576.36,5198.52
2011-03-10,Channel Islands,1104.13,6302.65
2011-04-13,Channel Islands,293.0,6595.65
2011-05-17,Channel Islands,0.0,6595.65
2011-05-19,Channel Islands,914.24,7509.89
2011-05-25,Channel Islands,-10.45,7499.44
2011-06-17,Channel Islands,2060.03,9559.47
2011-08-01,Channel Islands,759.56,10319.03
2011-08-18,Channel Islands,-4.25,10314.78
2011-08-21,Channel Islands,1432.0,11746.78
2011-08-23,Channel Islands,2705.22,14452.0
2011-09-19,Channel Islands,1062.1,15514.1
2011-09-26,Channel Islands,261.65,15775.75
2011-09-28,Channel Islands,-2.1,15773.65
2011-10-05,Channel Islands,1761.0,17534.65
2011-10-14,Channel Islands,862.32,18396.97
2011-11-06,Channel Islands,1303.14,19700.11
2011-11-17,Channel Islands,211.63,19911.74
2011-11-30,Channel Islands,-19.6,19892.14
2011-12-05,Channel Islands,198.4,20090.54
2011-12-08,Channel Islands,-4.25,20086.29
2010-12-14,Cyprus,1590.82,1590.82
2011-01-12,Cyprus,547.5,2138.32
2011-02-07,Cyprus,1993.96,4132.28
2011-02-16,Cyprus,1683.9,5816.18
2011-02-17,Cyprus,15.0,5831.18
2011-02-21,Cyprus,320.69,6151.87
2011-03-10,Cyprus,938.39,7090.26
2011-04-13,Cyprus,-35.8,7054.46
2011-06-03,Cyprus,1109.32,8163.78
2011-09-19,Cyprus,196.35,8360.13
2011-10-04,Cyprus,0.0,8360.13
2011-10-07,Cyprus,600.39,8960.52
2011-10-13,Cyprus,2876.85,11837.37
2011-10-19,Cyprus,739.28,12576.65
2011-11-18,Cyprus,460.89,13037.54
2011-12-02,Cyprus,-91.25,12946.29
2011-02-28,Czech Republic,549.26,549.26
2011-04-01,Czech Republic,-57.51,491.75
2011-10-07,Czech Republic,277.48,769.23
2011-11-18,Czech Republic,-61.51,707.72
2010-12-09,Denmark,1281.5,1281.5
2011-02-16,Denmark,399.22,1680.72
2011-03-17,Denmark,3978.99,5659.71
2011-05-11,Denmark,515.7,6175.41
2011-06-09,Denmark,1621.25,7796.66
2011-06-20,Denmark,1125.4,8922.06
2011-06-23,Denmark,514.5,9436.56
2011-07-25,Denmark,376.24,9812.8
2011-08-09,Denmark,-134.55,9678.25
2011-08-10,Denmark,213.15,9891.4
2011-09-21,Denmark,3850.9,13742.3
2011-09-26,Denmark,336.14,14078.44
2011-09-29,Denmark,383.12,14461.56
2011-10-07,Denmark,891.4,15352.96
2011-10-11,Denmark,171.66,15524.62
2011-10-17,Denmark,-34.65,15489.97
2011-10-21,Denmark,409.7,15899.67
2011-11-17,Denmark,1794.05,17693.72
2011-11-30,Denmark,905.52,18599.24
2011-12-05,Denmark,168.9,18768.14
2010-12-01,EIRE,555.38,555.38
2010-12-02,EIRE,15.0,570.38
2010-12-03,EIRE,2576.85,3147.23
2010-12-06,EIRE,1182.5,4329.73
2010-12-09,EIRE,945.55,5275.28
2010-12-10,EIRE,1156.05,6431.33
2010-12-16,EIRE,486.56,6917.89
2010-12-17,EIRE,1424.12,8342.01
2010-12-19,EIRE,411.1,8753.11
2010-12-20,EIRE,-760.31,7992.8
2010-12-21,EIRE,762.3,8755.1
2010-12-23,EIRE,274.85,9029.95
2011-01-05,EIRE,-232.67,8797.28
2011-01-09,EIRE,258.0,9055.28
2011-01-10,EIRE,-15.0,9040.28
2011-01-14,EIRE,16774.72,25815.0
2011-01-18,EIRE,465.58,26280.58
2011-01-20,EIRE,2756.84,29037.42
2011-01-24,EIRE,282.44,29319.86
2011-01-26,EIRE,802.56,30122.42
2011-01-27,EIRE,564.05,30686.47
2011-02-01,EIRE,797.77,31484.24
2011-02-02,EIRE,15.0,31499.24
2011-02-03,EIRE,788.06,32287.3
2011-02-04,EIRE,229.6,32516.9
2011-02-08,EIRE,-25.8,32491.1
2011-02-14,EIRE,3120.71,35611.81
2011-02-15,EIRE,4362.5,39974.31
2011-02-17,EIRE,281.12,40255.43
2011-02-18,EIRE,162.7,40418.13
2011-02-21,EIRE,1011.08,41429.21
2011-02-23,EIRE,1480.2,42909.41
2011-02-25,EIRE,-2548.8,40360.61
2011-03-01,EIRE,2541.15,42901.76
2011-03-03,EIRE,-10.2,42891.56
2011-03-04,EIRE,1185.49,44077.05
2011-03-10,EIRE,6162.02,50239.07
2011-03-11,EIRE,0.0,50239.07
2011-03-14,EIRE,1825.25,52064.32
2011-03-15,EIRE,3389.6,55453.92
2011-03-17,EIRE,376.83,55830.75
2011-03-18,EIRE,743.71,56574.46
2011-03-20,EIRE,197.8,56772.26
2011-03-24,EIRE,415.45,57187.71
2011-03-25,EIRE,750.37,57938.08
2011-03-27,EIRE,-24.79,57913.29
2011-03-28,EIRE,539.0,58452.29
2011-03-29,EIRE,523.15,58975.44
2011-03-31,EIRE,168.4,59143.84
2011-04-01,EIRE,1407.19,60551.03
2011-04-04,EIRE,2448.12,62999.15
2011-04-06,EIRE,955.99,63955.14
2011-04-07,EIRE,583.41,64538.55
2011-04-11,EIRE,998.53,65537.08
2011-04-17,EIRE,446.74,65983.82
2011-04-19,EIRE,367.62,66351.44
2011-04-27,EIRE,362.9,66714.34
2011-05-03,EIRE,1164.21,67878.55
2011-05-05,EIRE,356.91,68235.46
2011-05-06,EIRE,3869.18,72104.64
2011-05-08,EIRE,862.53,72967.17
2011-05-10,EIRE,810.45,73777.62
2011-05-15,EIRE,603.78,74381.4
2011-05-16,EIRE,4615.36,78996.76
2011-05-17,EIRE,1164.76,80161.52
2011-05-18,EIRE,1414.36,81575.88
2011-05-19,EIRE,1203.8,82779.68
2011-05-20,EIRE,380.32,83160.0
2011-05-23,EIRE,1007.75,84167.75
2011-05-24,EIRE,-20.3,84147.45
2011-05-26,EIRE,488.24,84635.69
2011-06-01,EIRE,-7.5,84628.19
2011-06-06,EIRE,958.12,85586.31
2011-06-07,EIRE,254.31,85840.62
2011-06-08,EIRE,3351.32,89191.94
2011-06-09,EIRE,984.27,90176.21
2011-06-13,EIRE,821.32,90997.53
2011-06-15,EIRE,4483.58,95481.11
2011-06-16,EIRE,1012.86,96493.97
2011-06-17,EIRE,626.13,97120.1
2011-06-19,EIRE,303.3,97423.4
2011-06-20,EIRE,0.0,97423.4
2011-06-21,EIRE,-967.44,96455.96
2011-06-22,EIRE,1019.2,97475.16
2011-06-23,EIRE,366.6,97841.76
2011-06-24,EIRE,1542.51,99384.27
2011-06-27,EIRE,816.32,100200.59
2011-06-29,EIRE,3738.99,103939.58
2011-06-30,EIRE,756.36,104695.94
2011-07-01,EIRE,1794.18,106490.12
2011-07-04,EIRE,1170.8,107660.92
2011-07-05,EIRE,205.6,107866.52
2011-07-08,EIRE,-12.75,107853.77
2011-07-14,EIRE,1796.17,109649.94
2011-07-18,EIRE,1077.53,110727.47
2011-07-19,EIRE,13566.39,124293.86
2011-07-21,EIRE,1338.29,125632.15
2011-07-26,EIRE,384.47,126016.62
2011-07-27,EIRE,764.51,126781.13
2011-07-28,EIRE,5406.15,132187.28
2011-07-29,EIRE,728.94,132916.22
2011-07-31,EIRE,14520.37,147436.59
2011-08-04,EIRE,0.0,147436.59
2011-08-05,EIRE,1572.73,149009.32
2011-08-08,EIRE,820.06,149829.38
2011-08-10,EIRE,131.87,149961.25
2011-08-11,EIRE,1672.4,151633.65
2011-08-12,EIRE,2165.63,153799.28
2011-08-14,EIRE,-434.51,153364.77
2011-08-15,EIRE,467.42,153832.19
2011-08-16,EIRE,-63.94,153768.25
2011-08-17,EIRE,2198.04,155966.29
2011-08-18,EIRE,49.93,156016.22
2011-08-19,EIRE,989.49,157005.71
2011-08-21,EIRE,458.9,157464.61
2011-08-23,EIRE,809.52,158274.13
2011-08-26,EIRE,1452.16,159726.29
2011-08-30,EIRE,-132.23,159594.06
2011-09-01,EIRE,3880.56,163474.62
2011-09-02,EIRE,749.13,164223.75
2011-09-04,EIRE,629.04,164852.79
2011-09-05,EIRE,8343.86,173196.65
2011-09-06,EIRE,4234.19,177430.84
2011-09-07,EIRE,3415.29,180846.13
2011-09-08,EIRE,2091.06,182937.19
2011-09-09,EIRE,-89.65,182847.54
2011-09-14,EIRE,744.91,183592.45
2011-09-15,EIRE,678.83,184271.28
2011-09-19,EIRE,644.33,184915.61
2011-09-20,EIRE,1755.69,186671.3
2011-09-21,EIRE,381.22,187052.52
2011-09-22,EIRE,1254.42,188306.94
2011-09-23,EIRE,3498.75,191805.69
2011-09-26,EIRE,1156.14,192961.83
2011-09-27,EIRE,772.95,193734.78
2011-09-28,EIRE,2334.49,196069.27
2011-09-30,EIRE,6163.84,202233.11
2011-10-06,EIRE,421.3,202654.41
2011-10-07,EIRE,904.14,203558.55
2011-10-10,EIRE,3160.78,206719.33
2011-10-11,EIRE,1575.79,208295.12
2011-10-12,EIRE,1422.76,209717.88
2011-10-14,EIRE,406.84,210124.72
2011-10-17,EIRE,5449.12,215573.84
2011-10-18,EIRE,1512.17,217086.01
2011-10-19,EIRE,1588.75,218674.76
2011-10-20,EIRE,3566.45,222241.21
2011-10-21,EIRE,1680.03,223921.24
2011-10-24,EIRE,618.82,224540.06
2011-10-27,EIRE,-97.9,224442.16
2011-10-30,EIRE,501.66,224943.82
2011-10-31,EIRE,596.91,225540.73
2011-11-01,EIRE,2047.05,227587.78
2011-11-02,EIRE,-16.75,227571.03
2011-11-04,EIRE,-100.36,227470.67
2011-11-07,EIRE,1157.33,228628.0
2011-11-08,EIRE,-37.09,228590.91
2011-11-09,EIRE,810.14,229401.05
2011-11-10,EIRE,1003.03,230404.08
2011-11-11,EIRE,2506.77,232910.85
2011-11-13,EIRE,4454.44,237365.29
2011-11-14,EIRE,348.21,237713.5
2011-11-15,EIRE,2246.31,239959.81
2011-11-16,EIRE,4906.29,244866.1
2011-11-17,EIRE,1602.42,246468.52
2011-11-18,EIRE,683.01,247151.53
2011-11-20,EIRE,917.54,248069.07
2011-11-21,EIRE,900.6,248969.67
2011-11-22,EIRE,2032.32,251001.99
2011-11-23,EIRE,147.48,251149.47
2011-11-24,EIRE,207.14,251356.61
2011-11-25,EIRE,293.79,251650.4
2011-11-27,EIRE,829.91,252480.31
2011-11-28,EIRE,1878.83,254359.14
2011-11-30,EIRE,1594.64,255953.78
2011-12-01,EIRE,1021.07,256974.85
2011-12-04,EIRE,773.54,257748.39
2011-12-05,EIRE,587.4,258335.79
2011-12-07,EIRE,3856.89,262192.68
2011-12-08,EIRE,1084.14,263276.82
2011-04-26,European Community,191.4,191.4
2011-06-05,European Community,387.05,578.45
2011-06-06,European Community,45.0,623.45
2011-06-10,European Community,-8.5,614.95
2011-07-21,European Community,676.8,1291.75
2010-12-16,Finland,892.8,892.8
2011-01-21,Finland,661.58,1554.38
2011-01-25,Finland,227.44,1781.82
2011-02-24,Finland,205.16,1986.98
2011-03-01,Finland,4969.22,6956.2
2011-03-20,Finland,409.2,7365.4
2011-03-21,Finland,-12.2,7353.2
2011-03-30,Finland,558.4,7911.6
2011-04-05,Finland,367.0,8278.6
2011-04-07,Finland,-62.11,8216.49
2011-04-11,Finland,373.72,8590.21
2011-04-15,Finland,306.2,8896.41
2011-04-21,Finland,642.0,9538.41
2011-06-23,Finland,329.56,9867.97
2011-07-05,Finland,632.44,10500.41
2011-07-14,Finland,1710.39,12210.8
2011-07-19,Finland,653.9,12864.7
2011-08-04,Finland,360.81,13225.51
2011-08-11,Finland,605.14,13830.65
2011-08-23,Finland,-4.95,13825.7
2011-08-26,Finland,410.55,14236.25
2011-09-02,Finland,230.3,14466.55
2011-09-13,Finland,319.6,14786.15
2011-09-22,Finland,245.55,15031.7
2011-09-25,Finland,310.0,15341.7
2011-10-04,Finland,310.0,15651.7
2011-10-12,Finland,936.93,16588.63
2011-10-13,Finland,640.5,17229.13
2011-10-27,Finland,701.79,17930.92
2011-10-31,Finland,214.9,18145.82
2011-11-04,Finland,1241.28,19387.1
2011-11-14,Finland,408.34,19795.44
2011-11-17,Finland,194.33,19989.77
2011-11-23,Finland,310.0,20299.77
2011-11-29,Finland,227.2,20526.97
2011-11-30,Finland,569.09,21096.06
2011-12-01,Finland,890.0,21986.06
2011-12-02,Finland,342.76,22328.82
2011-12-07,Finland,-2.08,22326.74
2010-12-01,France,855.86,855.86
2010-12-03,France,425.38,1281.24
2010-12-05,France,1526.92,2808.16
2010-12-07,France,1448.98,4257.14
2010-12-08,France,173.55,4430.69
2010-12-09,France,1832.58,6263.27
2010-12-10,France,1071.9,7335.17
2010-12-15,France,195.89,7531.06
2010-12-16,France,-8.85,7522.21
2010-12-17,France,350.28,7872.49
2010-12-20,France,1371.19,9243.68
2010-12-21,France,221.28,9464.96
2010-12-22,France,110.4,9575.36
2011-01-05,France,1369.28,10944.64
2011-01-06,France,745.02,11689.66
2011-01-07,France,1065.09,12754.75
2011-01-09,France,114.0,12868.75
2011-01-10,France,1238.06,14106.81
2011-01-11,France,1512.64,15619.45
2011-01-12,France,1405.68,17025.13
2011-01-14,France,1790.43,18815.56
2011-01-17,France,732.14,19547.7
2011-01-19,France,752.75,20300.45
2011-01-20,France,1472.88,21773.33
2011-01-21,France,-5.45,21767.88
2011-01-23,France,514.5,22282.38
2011-01-24,France,190.2,22472.58
2011-01-25,France,3.45,22476.03
2011-01-27,France,-14.65,22461.38
2011-01-28,France,1079.83,23541.21
2011-01-31,France,3537.22,27078.43
2011-02-01,France,510.85,27589.28
2011-02-02,France,641.39,28230.67
2011-02-04,France,1236.73,29467.4
2011-02-08,France,201.86,29669.26
2011-02-09,France,455.02,30124.28
2011-02-10,France,321.56,30445.84
2011-02-14,France,-6.3,30439.54
2011-02-15,France,237.6,30677.14
2011-02-16,France,901.66,31578.8
2011-02-17,France,250.0,31828.8
2011-02-18,France,964.4,32793.2
2011-02-21,France,746.82,33540.02
2011-02-22,France,-24.55,33515.47
2011-02-23,France,439.76,33955.23
2011-02-27,France,110.6,34065.83
2011-02-28,France,1451.51,35517.34
2011-03-01,France,1146.26,36663.6
2011-03-03,France,573.16,37236.76
2011-03-04,France,317.25,37554.01
2011-03-07,France,-20.4,37533.61
2011-03-08,France,-37.25,37496.36
2011-03-11,France,712.85,38209.21
2011-03-13,France,343.29,38552.5
2011-03-14,France,479.4,39031.9
2011-03-15,France,550.54,39582.44
2011-03-16,France,262.8,39845.24
2011-03-20,France,316.02,40161.26
2011-03-21,France,205.87,40367.13
2011-03-22,France,523.98,40891.11
2011-03-23,France,1891.28,42782.39
2011-03-25,France,357.91,43140.3
2011-03-27,France,164.05,43304.35
2011-03-28,France,1136.3,44440.65
2011-03-31,France,5593.59,50034.24
2011-04-01,France,382.8,50417.04
2011-04-04,France,719.55,51136.59
2011-04-05,France,0.0,51136.59
2011-04-07,France,366.2,51502.79
2011-04-11,France,-38.25,51464.54
2011-04-14,France,615.2,52079.74
2011-04-17,France,630.22,52709.96
2011-04-18,France,-86.0,52623.96
2011-04-20,France,541.2,53165.16
2011-04-21,France,706.55,53871.71
2011-04-26,France,160.54,54032.25
2011-04-27,France,-11.9,54020.35
2011-04-28,France,209.1,54229.45
2011-05-03,France,1823.34,56052.79
2011-05-05,France,236.0,56288.79
2011-05-08,France,1056.43,57345.22
2011-05-09,France,537.9,57883.12
2011-05-10,France,489.1,58372.22
2011-05-11,France,3018.73,61390.95
2011-05-12,France,296.53,61687.48
2011-05-13,France,1000.51,62687.99
2011-05-15,France,151.4,62839.39
2011-05-16,France,756.62,63596.01
2011-05-17,France,793.62,64389.63
2011-05-18,France,869.53,65259.16
2011-05-19,France,914.51,66173.67
2011-05-20,France,1100.55,67274.22
2011-05-22,France,910.71,68184.93
2011-05-23,France,421.96,68606.89
2011-05-24,France,393.34,69000.23
2011-05-25,France,1280.82,70281.05
2011-05-26,France,630.5,70911.55
2011-05-27,France,403.09,71314.64
2011-05-31,France,441.89,71756.53
2011-06-05,France,3442.51,75199.04
2011-06-06,France,371.45,75570.49
2011-06-08,France,1311.74,76882.23
2011-06-09,France,1030.59,77912.82
2011-06-10,France,480.0,78392.82
2011-06-12,France,360.18,78753.0
2011-06-13,France,2399.62,81152.62
2011-06-15,France,1856.11,83008.73
2011-06-16,France,510.27,83519.0
2011-06-17,France,1319.38,84838.38
2011-06-19,France,125.46,84963.84
2011-06-20,France,734.56,85698.4
2011-06-21,France,257.3,85955.7
2011-06-22,France,852.44,86808.14
2011-06-24,France,634.74,87442.88
2011-06-27,France,201.24,87644.12
2011-06-28,France,134.28,87778.4
2011-06-30,France,-30.0,87748.4
2011-07-01,France,451.86,88200.26
2011-07-04,France,474.36,88674.62
2011-07-05,France,644.45,89319.07
2011-07-06,France,1056.62,90375.69
2011-07-08,France,1193.25,91568.94
2011-07-11,France,611.08,92180.02
2011-07-12,France,1223.85,93403.87
2011-07-13,France,915.46,94319.33
2011-07-17,France,150.1,94469.43
2011-07-18,France,1866.08,96335.51
2011-07-19,France,99.6,96435.11
2011-07-21,France,-46.65,96388.46
2011-07-24,France,412.93,96801.39
2011-07-27,France,204.75,97006.14
2011-07-28,France,-46.65,96959.49
2011-07-29,France,677.9,97637.39
2011-08-02,France,85.8,97723.19
2011-08-03,France,1202.22,98925.41
2011-08-04,France,511.03,99436.44
2011-08-05,France,830.3,100266.74
2011-08-10,France,248.35,100515.09
2011-08-12,France,391.18,100906.27
2011-08-14,France,46.65,100952.92
2011-08-15,France,1161.07,102113.99
2011-08-17,France,580.08,102694.07
2011-08-18,France,764.79,103458.86
2011-08-19,France,612.29,104071.15
2011-08-21,France,528.77,104599.92
2011-08-23,France,947.36,105547.28
2011-08-24,France,428.91,105976.19
2011-08-25,France,2169.21,108145.4
2011-08-26,France,1130.95,109276.35
2011-08-31,France,2150.3,111426.65
